kom_1,students_private_pct
København,24.736153
Frederiksberg,22.059193
Ballerup,11.460933
Brøndby,19.649805
Dragør,3.6065574
Gentofte,26.855436
Gladsaxe,22.906157
Glostrup,13.593073
Herlev,19.543465
Albertslund,15.042159
Hvidovre,11.558784
Høje-Taastrup,23.996334
Lyngby-Taarbæk,13.670498
Rødovre,13.22276
Ishøj,23.793949
Tårnby,10.040241
Vallensbæk,9.1038408
Furesø,15.655133
Allerød,14.66468
Fredensborg,20.700151
Helsingør,17.208864
Hillerød,23.414467
Hørsholm,29.002911
Rudersdal,14.527319
Egedal,13.041117
Frederikssund,23.096554
Greve,15.464273
Køge,18.088419
Halsnæs,27.394438
Roskilde,15.792129
Solrød,16.361168
Gribskov,29.96718
Odsherred,26.78178
Holbæk,32.60088
Faxe,20.572058
Kalundborg,28.702354
Ringsted,30.7651
Slagelse,23.228079
Stevns,29.072252
Sorø,22.222223
Lejre,17.962629
Lolland,34.498905
Næstved,15.234876
Guldborgsund,17.500914
Vordingborg,26.898422
Bornholm,36.959
Middelfart,21.463875
Assens,20.068649
Faaborg-Midtfyn,32.907803
Kerteminde,13.973619
Nyborg,34.538654
Odense,20.985306
Svendborg,23.428095
Nordfyns,10.815823
Langeland,9.6956034
Ærø,20.842571
Haderslev,25.551048
Billund,18.4779
Sønderborg,23.419926
Tønder,28.189188
Esbjerg,12.764729
Fanø,1.2121211
Varde,9.8428745
Vejen,10.659588
Aabenraa,16.842464
Fredericia,18.247345
Horsens,15.539215
Kolding,18.876953
Vejle,20.306076
Herning,14.545274
Holstebro,19.627176
Lemvig,10.463862
Struer,7.5011945
Syddjurs,20.37569
Norddjurs,18.126888
Favrskov,10.70003
Odder,25.601833
Randers,25.615574
Silkeborg,13.074907
Samsø,27.03583
Skanderborg,12.155418
Aarhus,15.092562
Ikast-Brande,12.481828
Ringkøbing-Skjern,19.053812
Hedensted,11.832821
Morsø,30.582279
Skive,5.9838161
Thisted,15.899673
Viborg,16.301598
Brønderslev,11.071766
Frederikshavn,17.938255
Vesthimmerlands,16.543274
Rebild,7.7203012
Mariagerfjord,15.97206
Jammerbugt,10.816568
Aalborg,12.292359
Hjørring,22.709599
